created_at,text
Sat Aug 15 00:53:10 +0000 2020,"2/ I can only speak for myself &amp; those closest to me, but we felt a rush of excitement, relief &amp; joy that my Senator (yes, I live in CA) was chosen.  I believe that's backed up by the record-breaking fund raising by the Biden/Harris ticket, $48 million in 48 hours is stunning."
Sat Aug 15 00:53:09 +0000 2020,@realDonaldTrump IM RIDIN WITH BIDEN
Sat Aug 15 00:53:08 +0000 2020,"@UpIsDownRightI1 And that supposedly outrageous amount of money Hunter Biden earned while on the Ukrainian energy company board was 10% of what Tucker Carlson makes. So yeah, big eye roll on that. No shortage of hypocrisy on Planet Trump."
Sat Aug 15 00:53:08 +0000 2020,"@MUfannnn @MikeyPumo @UnitedAsOne2020 @PpollingNumbers @DataProgress Another fair and important criticism. Yet I still wonder what your plans are for Election Day. This election is too important. It’s gonna be Trump or Biden, and if we get Biden in then we bring the heat about his/his cabinet members’ special interests..."
Sat Aug 15 00:53:08 +0000 2020,If biden really does win then it will solidify what was said in 2016: had Hillary been a man she would’ve won... regardless of emails.
Sat Aug 15 00:53:08 +0000 2020,"I will admit, had Biden picked @TulsiGabbard as VP I would be very tempted to vote blue. Because of his pick, I am a n I vote Jorgenson. Sorry but Harris? Im from CA and that is a solid HECK NO"
Sat Aug 15 00:53:07 +0000 2020,Tell Joe Biden &amp; the DNC: #LetAOCSpeak -- Give AOC Fair Time to Speak at the Democratic National Convention! - Action Network https://t.co/PRlIoXHLWc
Sat Aug 15 00:53:06 +0000 2020,"@mwhitework @BlackShuck063 @KamVTV @realDonaldTrump Fact Trump is going to Sweep all the Electoral Votes 
Not wishful thinking 
You guys are Delusional Just like Joe Biden"
Sat Aug 15 00:53:06 +0000 2020,@briebriejoy @PodSaveAmerica Wait...when did Biden move left???
Sat Aug 15 00:53:05 +0000 2020,"@GlennHarmonJr @E_Fish **Biden gets into office**

""Alright folks, here's the deal. In order to defeat Coronavirus I'm gonna need everyone to shut up!"""
Sat Aug 15 00:53:05 +0000 2020,@KamalaHarris @JoeBiden This is how I will look voting Biden/Harris in November.
Sat Aug 15 00:53:05 +0000 2020,@TX_WalkerRanger There’s a lot of people who hate her. If she inserts herself into the Biden campaign (or Biden says he’s going use her) I think that’ll help Trump
Sat Aug 15 00:53:03 +0000 2020,@Janeese4DC Did i miss something or were not happy about the Biden/harris a couple of days ago?
Sat Aug 15 00:53:02 +0000 2020,Lifelong Republican: I'm voting Biden because I'm disgusted https://t.co/wtEpgQsCjd
Sat Aug 15 00:53:01 +0000 2020,"The announcement that Joe Biden picked Senator Kamala Harris as his running mate is 🔥🔥🔥 ,
and @sarahaines is coming back to @TheView ❣❣❣ https://t.co/Vwqhq2PnHM"
Sat Aug 15 00:53:01 +0000 2020,"@BarackObama Some folks are naturally just power hungry, just so desperate to be on the front line. I wish every former/ old president stayed out of politics like Clinton and G Bush. Let Trump fight Biden and we see who get it in Nov."
