created_at,text
Fri Aug 14 22:47:48 +0000 2020,"@RoKhanna Thank you for standing your ground, on this and voting for Senator Sanders. Joe Biden is Donald Trump with a healthcare plan."
Fri Aug 14 22:47:48 +0000 2020,@AndrewHClark Nobody is jealous of Donald Trump
Fri Aug 14 22:47:47 +0000 2020,@chinahand Trump wouldn't hesitate to sacrifice Taiwan if it would help himself. He wouldn't hesitate to sacrifice any one of us.
Fri Aug 14 22:47:47 +0000 2020,"@DavidBrodyCBN @realDonaldTrump No, Trump said she wasn’t born here. And the argument you are making was settled law a long time ago."
Fri Aug 14 22:47:47 +0000 2020,@realDonaldTrump Donald Trump is an admitted sex offender.
Fri Aug 14 22:47:47 +0000 2020,@realDonaldTrump @FoxNews TRUMP TRAITOR GUILTY PRISON LIFE https://t.co/1745VyPE0t
Fri Aug 14 22:47:47 +0000 2020,"@WayneSittler @LindseyGrahamSC @KamalaHarris I'm old, both sides lie, it is called politics. Our job is to search out the evidence to see who is lying the least. The establishment Reps and Dems and MSM hate Trump. Sounds like the perfect guy to clean up all the corruption to me. But if you think DC is squeaky clean, well..."
Fri Aug 14 22:47:46 +0000 2020,"The critical thinker in me did not tweet a joke about it, she went to do her research. While there is Trump gear that is made in China, all official Trump gear is made in the USA. Official MAGA hats are made in Carson, California, by a company called Cali Fame."
Fri Aug 14 22:47:46 +0000 2020,"@GigiJailed You know Gigi I find it hypocritical of many black folks   problem with Donald Trump racism, and seem to have shamefully gave a pass, to all the other past president racism! Well I guess they like racism with lubrication and not the hard rough raw racism of Donald Trump,SMH!"
Fri Aug 14 22:47:46 +0000 2020,Trump openly said he wants to make it harder for people to vote and you still don’t think he’s trying to rig the election? Mmokay
Fri Aug 14 22:47:46 +0000 2020,"This is hilarious. It would make for a great tweet that could garner some laughs, and I could do some serious commentary on the extent to which Trump criticizes China while his most famous marketing item is made there. My instinct would be to automatically believe this."
Fri Aug 14 22:47:46 +0000 2020,"My wife sent this to me. It;s the perfect antidote to Trump. 

A maniac has synced the Teletubbies with Stravinsky’s ‘Rite of Spring’

https://t.co/gmSPbC4MdA"
Fri Aug 14 22:47:46 +0000 2020,@botts___ Os caipiras dos cinturões são Trump
Fri Aug 14 22:47:46 +0000 2020,“I’m in this race to win and with that guy right there” and no questions taken from media. Pres. Trump gets a bad rap from many in the media but at least he takes questions https://t.co/6DVmi8nEmU
Fri Aug 14 22:47:46 +0000 2020,"Trump is a toxic President, you 
and I know, if the GOP, with the exception of Mitt, would do their oath of office fully, Trump presidency would be over by now. Look at the state of the country before Trump became President and now. Admit, Trump failed Republicans and Democrats."
Fri Aug 14 22:47:46 +0000 2020,"@DavidPe97752799 @Salon ""Great economy, at peace, personal money and others"" yet can't name a policy. Thank you for continuing to prove that Trump supporters are uneducated idiots who can't think for themselves."
Fri Aug 14 22:47:46 +0000 2020,"Evidence that I, as a critical thinker and consumer of information, must seek out. Here’s another example. I saw a social media post showing a Trump MAGA hat and a Biden hat. It showed the labels in both hats. The MAGA hat said “Made in China.” The Joe hat said “Made in the USA.”"
Fri Aug 14 22:47:46 +0000 2020,"@tmitchell1074 @washingtonpost If Biden wins distancing for COVID &amp; masks will still exist and the fight to end racism will still continue. I haven't jumped on the trump bandwagon, that's true."
Fri Aug 14 22:47:46 +0000 2020,Here’s how Trump’s ‘nasty’ jab at Kamala reveals his misunderstanding of women https://t.co/PgWIjltDYh
Fri Aug 14 22:47:46 +0000 2020,@charliekirk11 Trump doesn’t need any phony trophies
Fri Aug 14 22:47:46 +0000 2020,"That’s one example. It tells me that though I may like a headline, I cannot simply blindly believe that Trump is the biggest champion of the protection of all natural resources (as those articles would have me believe), because there is evidence to the contrary."
Fri Aug 14 22:47:46 +0000 2020,"@SenTomCotton Why don't you do your job and protect our democracy. Obey your oath. Demand Trump fund the USPS. We the People will not allow tRump to interfere with our right to vote. 
#FundUSPS"
